scenario_id,exp,speed_kmh,distance_m,yellow_time_s,intersection_width_m,road_condition,ego_type,rear_speed_kmh,gap_m,rear_type,theoretical_pass,can_stop_emg,rear_collision_theory,decision,zone,pass_before_red,actual_travel_time_s,avg_speed_kmh,final_speed_kmh,time_margin_s,actual_collision,min_gap_m,safe_stop,red_entry,success,match_theory,timestamp,error,stop_overrun_m,dist_to_stopline_m,in_crosswalk,in_intersection,past_intersection,is_dilemma_zone,decision_feasible
0,3,30,10,3.0,12,dry,sedan,0,0,,False,False,False,급정지,딜레마구간,False,1.7,0,0.0,0,False,999.0,True,False,True,False,2026-05-03T22:24:05.291751,,-1.94,1.94,False,False,False,True,True
1,3,30,10,3.0,12,dry,sedan,35,15,sedan,False,False,False,급정지,딜레마구간,False,1.55,0,0.0,0,False,9.88,True,False,True,False,2026-05-03T22:24:06.040474,,3.02,3.02,True,False,False,True,True
2,3,30,10,4.0,12,dry,sedan,0,0,,True,False,False,진행,일반구간,False,3.2,0,30.0,0,False,999.0,False,False,True,False,2026-05-03T22:24:06.919547,,34.77,34.77,False,False,True,False,True
3,3,30,10,4.0,12,dry,sedan,35,15,sedan,True,False,False,진행,일반구간,False,3.2,0,30.0,0,False,14.87,False,False,True,False,2026-05-03T22:24:08.240746,,43.64,43.64,False,False,True,False,True
4,3,30,10,5.0,12,dry,sedan,0,0,,True,False,False,진행,일반구간,False,3.2,0,30.0,0,False,999.0,False,False,True,False,2026-05-03T22:24:09.764406,,34.77,34.77,False,False,True,False,True
5,3,30,10,5.0,12,dry,sedan,35,15,sedan,True,False,False,진행,일반구간,False,3.2,0,30.0,0,False,14.87,False,False,True,False,2026-05-03T22:24:11.078275,,43.64,43.64,False,False,True,False,True
6,3,30,20,3.0,12,dry,sedan,0,0,,False,True,False,급정지,일반구간,False,3.4,0,0.6,0,False,999.0,True,False,True,False,2026-05-03T22:24:12.573377,,-2.13,2.13,False,False,False,False,True
7,3,30,20,3.0,12,dry,sedan,35,15,sedan,False,True,False,급정지,일반구간,False,1.95,0,0.0,0,False,11.63,True,False,True,False,2026-05-03T22:24:13.575163,,-1.89,1.89,False,False,False,False,True
8,3,30,20,4.0,12,dry,sedan,0,0,,False,True,False,급정지,일반구간,False,3.4,0,0.6,0,False,999.0,True,False,True,False,2026-05-03T22:24:14.512296,,-2.13,2.13,False,False,False,False,True
9,3,30,20,4.0,12,dry,sedan,35,15,sedan,False,True,False,급정지,일반구간,False,1.95,0,0.0,0,False,11.63,True,False,True,False,2026-05-03T22:24:15.505616,,-1.89,1.89,False,False,False,False,True
10,3,30,20,5.0,12,dry,sedan,0,0,,True,True,False,진행,진행/정지선택구간,False,4.4,0,30.0,0,False,999.0,False,False,True,False,2026-05-03T22:24:16.442527,,34.76,34.76,False,False,True,False,True
11,3,30,20,5.0,12,dry,sedan,35,15,sedan,True,True,False,진행,진행/정지선택구간,False,4.4,0,30.0,0,False,13.22,False,False,True,False,2026-05-03T22:24:17.960005,,43.64,43.64,False,False,True,False,True
12,3,30,30,3.0,12,dry,sedan,0,0,,False,True,False,급정지,일반구간,False,4.65,0,0.5,0,False,999.0,True,False,True,False,2026-05-03T22:24:19.678817,,-2.39,2.39,False,False,False,False,True
13,3,30,30,3.0,12,dry,sedan,35,15,sedan,False,True,False,급정지,일반구간,False,3.85,0,0.0,0,False,10.44,True,False,True,False,2026-05-03T22:24:20.879686,,-2.03,2.03,False,False,False,False,True
14,3,30,30,4.0,12,dry,sedan,0,0,,False,True,False,급정지,일반구간,False,4.65,0,0.5,0,False,999.0,True,False,True,False,2026-05-03T22:24:22.146295,,-2.39,2.39,False,False,False,False,True
15,3,30,30,4.0,12,dry,sedan,35,15,sedan,False,True,False,급정지,일반구간,False,3.85,0,0.0,0,False,10.44,True,False,True,False,2026-05-03T22:24:23.376626,,-2.03,2.03,False,False,False,False,True
16,3,30,30,5.0,12,dry,sedan,0,0,,False,True,False,급정지,일반구간,False,4.65,0,0.5,0,False,999.0,True,False,True,False,2026-05-03T22:24:24.633577,,-2.39,2.39,False,False,False,False,True
17,3,30,30,5.0,12,dry,sedan,35,15,sedan,False,True,False,급정지,일반구간,False,3.85,0,0.0,0,False,10.44,True,False,True,False,2026-05-03T22:24:25.835618,,-2.03,2.03,False,False,False,False,True
18,3,30,40,3.0,12,dry,sedan,0,0,,False,True,False,급정지,일반구간,False,6.25,0,0.0,0,False,999.0,True,False,True,False,2026-05-03T22:24:27.085602,,-2.17,2.17,False,False,False,False,True
